lemma_,count,pos,lemma,freq,number_of_meanings,pos_fr,etymology,age
suralimenter@VERB,237,VERB,suralimenter,4.5138175755177725e-07,1.0,verbe,1896.0,124.0
carter@NOUN,404,NOUN,carter,7.694440086536625e-07,2.0,substantif,1891.0,129.0
paddock@NOUN,206,NOUN,paddock,3.9234026183825363e-07,2.0,substantif,1547.0,473.0
charade@NOUN,170,NOUN,charade,3.2377594423545203e-07,2.0,substantif,1770.0,250.0
diététique@NOUN,184,NOUN,diététique,3.5043984552543045e-07,2.0,substantif,1549.0,471.0
cyclotourisme@NOUN,224,NOUN,cyclotourisme,4.2662242063965443e-07,1.0,substantif,1901.0,119.0
abricotier@NOUN,167,NOUN,abricotier,3.1806225110188524e-07,2.0,substantif,1526.0,494.0
routinier@ADJ,127,ADJ,routinier,2.4187967598766125e-07,2.0,adjectif,1761.0,259.0
akkadien@NOUN,688,NOUN,akkadien,1.310340291964653e-06,1.0,substantif,1873.0,147.0
cunéiforme@ADJ,445,ADJ,cunéiforme,8.475311481457421e-07,7.0,adjectif,1559.0,461.0
xénophobie@NOUN,526,NOUN,xénophobie,1.0018008627520457e-06,2.0,substantif,1906.0,114.0
mémoriel@ADJ,626,ADJ,mémoriel,1.1922573005376058e-06,1.0,adjectif,1921.0,99.0
nietzschéen@ADJ,180,ADJ,nietzschéen,3.4282158801400806e-07,1.0,adjectif,1906.0,114.0
immigre@VERB,370,VERB,immigre,7.046888198065721e-07,5.0,verbe,1769.0,251.0
léviter@VERB,124,VERB,léviter,2.3616598285409444e-07,1.0,verbe,1930.0,90.0
proéminent@ADJ,353,ADJ,proéminent,6.723112253830269e-07,3.0,adjectif,1542.0,478.0
dystrophie@NOUN,156,NOUN,dystrophie,2.971120429454736e-07,1.0,substantif,1855.0,165.0
médailleur@NOUN,170,NOUN,médailleur,3.2377594423545203e-07,1.0,substantif,1812.0,208.0
bimétallisme@NOUN,103,NOUN,bimétallisme,1.9617013091912682e-07,1.0,substantif,1875.0,145.0
numismate@NOUN,167,NOUN,numismate,3.1806225110188524e-07,3.0,substantif,1812.0,208.0
carrosser@VERB,236,VERB,carrosser,4.4947719317392165e-07,1.0,verbe,1828.0,192.0
phrénologie@NOUN,103,NOUN,phrénologie,1.9617013091912682e-07,1.0,substantif,1818.0,202.0
récidiviste@ADJ,114,ADJ,récidiviste,2.1712033907553844e-07,1.0,adjectif,1845.0,175.0
carriole@NOUN,170,NOUN,carriole,3.2377594423545203e-07,2.0,substantif,1587.0,433.0
mitrailler@VERB,580,VERB,mitrailler,1.1046473391562482e-06,2.0,verbe,1796.0,224.0
composteur@NOUN,134,NOUN,composteur,2.5521162663265043e-07,3.0,substantif,1643.0,377.0
interventionniste@ADJ,277,ADJ,interventionniste,5.275643326660013e-07,1.0,adjectif,1837.0,183.0
miasme@NOUN,161,NOUN,miasme,3.0663486483475166e-07,3.0,substantif,1695.0,325.0
quinquina@NOUN,245,NOUN,quinquina,4.666182725746221e-07,3.0,substantif,1653.0,367.0
vichyste@ADJ,375,ADJ,vichyste,7.142116416958501e-07,2.0,adjectif,1942.0,78.0
